,molecule_chembl_id,smiles
0,CHEMBL40872,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@H](CC1CCCCC1)n1cccc(NC(=O)OCc2ccccc2)c1=O
2,CHEMBL297598,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)n1cccc(NC(=O)OCc2ccccc2)c1=O
3,CHEMBL289920,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccc(F)cc1)n1cccc(NC(=O)c2cc(C)on2)c1=O
4,CHEMBL291276,Cc1cc(C(=O)Nc2cccn([C@@H](Cc3ccc(F)c(F)c3)C(=O)N[C@H](/C=C/C(=O)OC(C)C)C[C@@H]3CCNC3=O)c2=O)no1
5,CHEMBL44022,CCOC(=O)/C=C/[C@H](C[C@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)n1cccc(NC(=O)OCc2ccccc2)c1=O
6,CHEMBL139782,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OC(C)(C)C)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
7,CHEMBL345023,CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCc1ccccc1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
8,CHEMBL139662,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC(C)(C)C)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
9,CHEMBL343497,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OC(C)C)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
10,CHEMBL342122,CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OC(C)C)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
11,CHEMBL139953,CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OC(C)(C)C)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
12,CHEMBL141816,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC)n1cccc(NC(=O)c2cc(C)on2)c1=O
13,CHEMBL336934,CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC(C)(C)C)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
14,CHEMBL141157,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
15,CHEMBL139555,CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OC1CCCCCC1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
16,CHEMBL341797,CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OC1CCCCC1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
17,CHEMBL140398,CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OC1CCC1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
18,CHEMBL140521,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCc1ccccc1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
19,CHEMBL141136,C#CC[C@@H](C(=O)N[C@H](/C=C(\C)C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
20,CHEMBL225216,CC(C)(C)OC(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)Cn1[nH]c(=O)c2ccccc2c1=O
